Frequency,Non vocalized Syriac,Vocalized Syriac,SedraID,absolute_frequency,Grammatical Category,long_definition,English,category
2496,ܫܘܪܥܬܐ,ܫܽܘܪܰܥܬܳܐ,3329,385,NounAdj,"ܫܽܘܪܰܥܬܳܐ slip, offence.","slip, offence",
2497,ܐܝܢܝܘܬܐ,ܐܰܝܢܳܝܽܘܬܳܐ,7849,384,NounAdj,"ܐܰܝܢܳܝܽܘܬܳܐ quality, sort.","quality, sort",
2498,ܟܢܝܫܐܝܬ,ܟܢܺܝܫܳܐܺܝܬ,11082,384,Adverb_ܐܝܬ,"ܟܢܺܝܫܳܐܺܝܬ jointly, together.","jointly, together",
2499,ܐܒܠ,ܐܶܒܰܠ,15032,384,Verb,"ܐܒܠ* Ip ܐܶܬܶܐܒܶܠ to mourn, make lamentation.","to mourn, make lamentation",
2500,ܓܐܝܘܬܐ,ܓܶܐܝܽܘܬܳܐ,11101,384,NounAdj,"ܓܶܐܝܽܘܬܳܐ magnificence, splendor; luxury; pride.","magnificence, splendor",
2501,ܥܘܠܐܝܬ,ܥܰܘܳܠܳܐܺܝܬ,6667,384,Adverb_ܐܝܬ,ܥܰܘܳܠܳܐܺܝܬ iniquitously.,iniquitously,
2502,ܬܠܐ,ܬܶܠܳܐ,10026,383.6,NounAdj,"ܬܶܠܳܐ mound, hill.",hill,Nature
2503,ܦܠܝܓܐ,ܦܠܺܝܓܳܐ,3517,383.25,NounAdj,ܦܠܺܝܓܳܐ divided; hesitant.,divided; hesitant,
2504,ܛܪܩܐ,ܛܰܪܩܳܐ,9237,383,NounAdj,"ܛܰܪܩܳܐ chief, best, excellent; expert.","chief, best, excellent; expert",
2505,ܚܝܠܬܢܐܝܬ,ܚܰܝܠܬܳܢܳܐܺܝܬ,7766,383,Adverb_ܐܝܬ,ܚܰܝܠܬܳܢܳܐܺܝܬ mightily.,mightily,
2506,ܡܝܩܢܢܝܬܐ,ܡܝܰܩܢܳܢܳܐ,8433,383,NounAdj,ܡܝܰܩܢܳܢܳܐ characteristic.,characteristic,
2507,ܐܪܝܘܬܐ,ܐܰܪܝܽܘܬܳܐ,12572,383,NounAdj,ܐܰܪܝܽܘܬܳܐ lioness.,lioness,
2508,ܫܩܠܛܥܢܐ,ܫܩܳܠܛܰܥܢܳܐ,3304,383,NounAdj,ܫܩܳܠܛܰܥܢܳܐ care.,care,
2509,ܐܫܬܝ,ܐܶܫܬܺܝ,15638,382.76,Verb,"ܫܬ݂ܳܐ fut. ܢܶܫܬܶܐ, Ia to drink, imbibe; to be watered; Ip; IIIa to cause to drink; to plait, to weave; IIIp to be woven.",to drink; to be watered,
2510,ܕܘܨ,ܕܳܨ,672,382.05,Verb,"ܕܳܨ fut. ܢܕܽܘܨ, Ia to leap for joy, exult; IIa ܕܰܝܶܨ to dance for joy; to exhilarate.","to leap for joy, exult",
2511,ܕܦܢܐ,ܕܰܦܢܳܐ,742,382,NounAdj,ܕܰܦܢܳܐ (pl. ܕܰܦ̈ܢܳܬܳܐ) f. side.,side,
2512,ܪܘܡܢܐ,ܪܽܘܡܳܢܳܐ,12617,382,NounAdj,ܪܽܘܡܳܢܳܐ pomegranate; poppy.,pomegranate; poppy,
2513,ܨܢܝܥܘܬܐ,ܨܢܺܝܥܽܘܬܳܐ,13883,382,NounAdj,"ܨܢܺܝܥܽܘܬܳܐ shrewdness, astuteness, craft, artifice.","shrewdness, astuteness",
2514,ܡܥܠܢܐ,ܡܰܥܠܳܢܳܐ,2313,382,NounAdj,"ܡܰܥܠܳܢܳܐ entry, entrance.","entry, entrance",
2515,ܥܒܝܘܬܐ,ܥܰܒܝܽܘܬܳܐ,11216,382,NounAdj,"ܥܰܒܝܽܘܬܳܐ thickness, swelling; dullness, denseness.",thickness,
2516,ܬܛܠܝܠܐ,ܬܰܛܠܺܝܠܳܐ,1243,381,NounAdj,"ܬܰܛܠܺܝܠܳܐ roof, ceiling.","roof, ceiling",
2517,ܩܪܝܚܐ,ܩܪܺܝܚܳܐ,6547,381,NounAdj,"ܩܪܺܝܚܳܐ prominent; clear, manifest; specified; Gram. pronounced.","clear, manifest",
2518,ܬܫܥܝܢ,ܬܶܫܥܺܝܢ,3455,381,number,ܬܶܫܥܺܝܢ ninety.,ninety,
2519,ܓܢܝܐ,ܓܶܢܝܳܐ,5450,381,NounAdj,"ܓܶܢܝܳܐ (pl. ܓܶܢ̈ܝܳܬܳܐ) hiding, concealing; secret place; defile, shelter.",hiding; secret place,Places
2520,ܩܢܝܘܬܐ,ܩܰܢܳܝܽܘܬܳܐ,12331,380,NounAdj,ܩܰܢܳܝܽܘܬܳܐ purchase; possession; condition.,purchase; possession; condition,
2521,ܚܒܢܢܐ,ܚܒܰܢܳܢܳܐ,938,380,NounAdj,"ܚܒܰܢܳܢܳܐ lazy, negligent, slothful.","lazy, negligent, slothful",
2522,ܡܥܒܪܬܐ,ܡܰܥܒܰܪܬܳܐ,8296,380,NounAdj,"ܡܰܥܒܰܪܬܳܐ crossing, passage, way, duct; ferry.","passage, way; ferry",
2523,ܝܠܘܦܐ,ܝܳܠܽܘܦܳܐ,12735,380,NounAdj,"ܝܳܠܽܘܦܳܐ student, pupil; studious.","student, pupil; studious",
2524,ܦܪ,ܦܪܳܐ,15858,379.4,Verb,"ܦܪܳܐ, ܦܪܺܝ fut. ܢܶܦܪܶܐ, Ia to be fruitful; IIIa to make fruitful; to increase, to multiply; to germinate; IIIp to be produced, to be published.",to be fruitful,
2525,ܝܨܪܐ,ܝܰܨܪܳܐ,8015,379,NounAdj,"ܝܰܨܪܳܐ propensity, inclination, natural disposition.","propensity, inclination, natural disposition",
2526,ܫܩܐ,ܫܳܩܳܐ,3298,378.4,NounAdj,"ܫܳܩܳܐ f. shin-bone, leg; line of verse; lineage.",leg; line of verse,
2527,ܓܙܡ,ܓܙܰܡ,550,378,Verb,"ܓܙܰܡ fut. ܢܶܓܙܽܘܡ, Ia to cut off, to decree; to rush upon, threaten; Ip to be threatened; IIa to threaten.","to cut off, to decree",
2528,ܡܨܛܠܝܢܘܬܐ,ܡܶܨܛܰܠܝܳܢܽܘܬܳܐ,6969,378,NounAdj,"ܡܶܨܛܰܠܝܳܢܽܘܬܳܐ propensity, inclination; deviation, aberration; Gram. inflexion.","propensity, inclination; deviation, aberration; Gram. inflexion",
2529,ܓܢܢܐ,ܓܰܢܳܢܳܐ,611,377,NounAdj,ܓܰܢܳܢܳܐ gardener.,gardener,
2530,ܬܗ,ܬܰܗܺܝ,15309,377,Verb,"ܬܰܗܺܝ IIa to delay, to defer; to detain; IIp to be late; to desist (from); to be delayed.","to delay, to defer",
2531,ܐܝܠܠ,ܐܰܝܠܶܠ,14829,376,Verb,"ܐܰܝܠܶܠ (= IIIa ܝܠܠ) to howl, wail, lament.","to howl, wail, lament",Death
2532,ܒܣܝܡܐܝܬ,ܒܰܣܺܝܡܳܐܺܝܬ,9472,376,Adverb_ܐܝܬ,"ܒܰܣܺܝܡܳܐܺܝܬ kindly, pleasantly.","kindly, pleasantly",
2533,ܢܗܡ,ܢܗܰܡ,1914,376,Verb,"ܢܗܰܡ & ܢܗܶܡ fut. ܢܶܢܗܰܡ, Ia to roar, bellow, moan; IIa to bleat, to moan; to hum.","to roar, bellow, moan",
2534,ܐܪܝܢܐ,ܐܰܪܝܳܢܳܐ,9084,375,NounAdj,ܐܰܪܝܳܢܳܐ leprous.,leprous,
2535,ܚܝܨܐ,ܚܺܝܨܳܐ,10386,375,NounAdj,"ܚܺܝܨܳܐ vigorous, robust; swift, pressing; firm, dense, solid; Gram. reduplicated.",vigorous; firm; Gram. reduplicated,
2536,ܪܓܝܐ,ܪܰܓܝܳܐ,6399,375,NounAdj,"ܪܰܓܝܳܐ tender, moist, soft.","tender, moist, soft",
2537,ܛܒܝܐ,ܛܰܒܝܳܐ,6383,375,NounAdj,"ܛܰܒܝܳܐ, ܛܒܺܝܬܳܐ deer, roe.","deer, roe",
2538,ܬܝܡܢܝܐ,ܬܰܝܡܢܳܝܳܐ,9885,374,NounAdj,"ܬܰܝܡܢܳܝܳܐ southerly, southern.","southerly, southern",
2539,ܙܘܦܐ,ܙܽܘܦܳܐ,870,374,NounAdj,ܙܽܘܦܳܐ hyssop.,hyssop,
2540,ܚܟܝܡܘܬܐ,ܚܰܟܺܝܡܽܘܬܳܐ,8730,374,NounAdj,ܚܰܟܺܝܡܽܘܬܳܐ wisdom.,wisdom,
2541,ܩܢܝܐ,ܩܰܢܳܝܳܐ,9308,373.8,NounAdj,"ܩܰܢܳܝܳܐ owner, purchaser.","owner, purchaser",
2542,ܩܘܕܡ,ܩܽܘܕܡܰܬ,12112,373,Prep,"ܩܽܘܕܡܰܬ before, in front of.","before, in front of",
2543,ܢܩܐ,ܢܩܳܐ,15390,372,Verb,"ܢܩܳܐ fut. ܢܶܢܩܶܐ, Ia pass. part. ܢܩܶܐ apt, eager, inclined to, prone; Ip to be inclined; IIa to pour a drink offering, to offer sacrifice; to consecrate; IIp to consecrate oneself.",to be inclined,
2544,ܢܟܣܬܐ,ܢܶܟܣܬܳܐ,1971,371,NounAdj,"ܢܶܟܣܬܳܐ victim; immolation, sacrifice.","victim; immolation, sacrifice",Religion
2545,ܗܘܢ,ܗܰܘܶܢ,15006,371,Verb,"ܗܰܘܶܢ IIa to compose oneself; ܡܗܰܘܰܢ endowed with reason, rational; IIp to come to one’s senses; to master oneself.",to compose oneself,
2546,ܩܝܢܕܘܢܘܣ,ܩܺܝܢܕܽܘܢܳܘܣ,6556,371,NounAdj,"ܩܺܝܢܕܽܘܢܳܘܣ danger, peril.","danger, peril",
2547,ܓܘܫܡܢܝܐ,ܓܽܘܫܡܳܢܳܝܳܐ,8924,370,NounAdj,"ܓܽܘܫܡܳܢܳܐ , ܓܽܘܫܡܳܢܳܝܳܐ bodily, corporeal.","bodily, corporeal",
2548,ܙܠܓܐ,ܙܶܠܓܳܐ,11178,370,NounAdj,"ܙܶܠܓܳܐ brightness, shining.","brightness, shining",
2549,ܒܨܪ,ܪܶܡܬܳܐ,8563,369.2,NounAdj,ܪܶܡܬܳܐ worms.,worms,
2550,ܩܫ,ܩܰܫ,15928,369,Verb,"ܩܰܫ 1 fut. ܢܶܩܽܘܫ & ܢܶܩܰܫ, Ia to grow old; IIa to give precedence; IIp to be old.",to grow old,
2551,ܓܘܕܐ,ܓܰܘܕܳܐ,8672,368.7,NounAdj,ܓܰܘܕܳܐ f. leather bottle.,leather bottle,Materials
2552,ܡܫܬܪܝܢܐ,ܡܶܫܬܰܪܝܳܢܳܐ,10627,368,NounAdj,"ܡܶܫܬܰܪܝܳܢܳܐ having a beginning; perishable; soluble; + ܠܳܐ indissoluble, imperishable.",having a beginning; perishable; soluble,
2553,ܚܝܬ,ܚܰܝܰܬ,5494,367.2,NounAdj,ܚܰܝܰܬ ܡܺܝ̈ܬܶܐ resurrection.,resurrection,
2554,ܥܓܠܐ,ܥܶܓܠܳܐ,2239,367.2,NounAdj,ܥܶܓܠܳܐ calf.,calf,Livestock
2555,ܕܡܝܘܬܐ,ܕܳܡܳܝܽܘܬܳܐ,5943,367,NounAdj,"ܕܳܡܳܝܽܘܬܳܐ resemblance, similarity.","resemblance, similarity",
2556,ܚܘܪܪܐ,ܚܽܘܪܳܪܳܐ,13098,367,NounAdj,"ܚܽܘܪܳܪܳܐ freeing, liberating, exemption.","freeing, liberating, exemption",
2557,ܩܛܝܢܬܐ,ܩܰܛܺܝܢܬܳܐ,13710,367,NounAdj,ܩܰܛܺܝܢܬܳܐ minute (of time); cattle; Kth. moment.,minute,
2558,ܚܒܨ,ܚܒܰܨ,940,367,Verb,"ܚܒܰܨ fut. ܢܶܚܒܽܘܨ, Ia to push, crowd together, throng; to hasten, be eager; to contract; Ip to thrust, press; to be pressed together, compressed; to hold back from; to try hard, take pains; IIa to press close together.","to push, crowd together, throng",People
2559,ܬܐܡܐ,ܬܳܐܡܳܐ,3345,367,NounAdj,"ܬܳܐܡܳܐ twin, double.","twin, double",
2560,ܐܟܠܐ,ܐܳܟܠܳܐ,115,366.3,NounAdj,"ܐܳܟܠܳܐ moth, maggot.","moth, maggot",
2561,ܡܫܚܠܦܐܝܬ,ܡܫܰܚܠܦܳܐܺܝܬ,9647,366,Adverb_ܐܝܬ,ܡܫܰܚܠܦܳܐܺܝܬ variously; differently; indiscriminately.,variously; differently; indiscriminately,
2562,ܡܐܙܠܬܐ,ܡܺܐܙܰܠܬܳܐ,5294,366,NounAdj,"ܡܺܐܙܰܠܬܳܐ departure, journeying.","departure, journeying",
2563,ܟܘܐ,ܟܘܳܐ,1478,365,Verb,"ܟܘܳܐ fut. ܢܶܟܘܶܐ, Ia to burn; IIa ܟܰܘܺܝ to cauterize, brand; IIp.",to burn,
2564,ܬܟ,ܬܰܟ,15530,365,Verb,"ܬܰܟ fut. ܢܶܬܽܘܟ, Ia to harm, injure; Ip to be humiliated; IIIa to bring to harm; to suffer harm.","to harm, injure",
2565,ܣܕܩ,ܣܕܰܩ,15668,365,Verb,"ܣܕܰܩ & ܣܕܶܩ fut. ܢܶܣܕܽܘܩ, Ia to tear apart; to cause a schism; Ip; IIa to rend, to tear (clothes etc.); to lacerate; to divide a way, to part asunder; IIp to be torn, rent.",to tear apart,
2566,ܥܪܒܝܐ,ܥܶܪܒܳܝܳܐ,8127,364.5,NounAdj,ܥܶܪܒܳܝܳܐ pertaining to sheep.,pertaining to sheep,Animals
2567,ܡܕܝܐ,ܡܕܳܝܳܐ,11386,364,NounAdj,"ܡܕܳܝܳܐ escape, flight.","escape, flight",
2568,ܝܙܦ,ܝܺܙܶܦ,15845,364,Verb,"ܝܺܙܶܦ fut. ܢܺܐܙܰܦ, Ia to borrow; Ip; IIIa ܐܰܘܙܶܦ to lend, lend on interest.",to borrow,
2569,ܫܒܠܐ,ܫܶܒܠܳܐ,3105,363.5,NounAdj,"ܫܶܒܠܳܐ m., ܫܶܒܶܠܬܳܐ f. (pl. ܫܶܒ̈ܠܶܐ) spike, blade (of corn); sign of the Zodiac (Virgo).","spike, blade (of corn)",Warfare
2570,ܫܒܠܐ,ܫܰܒܳܠܳܐ,12548,363.5,NounAdj,"ܫܰܒܳܠܳܐ guide, conductor.","guide, conductor",
2571,ܦܕܢܐ,ܦܰܕܳܢܳܐ,2456,363,NounAdj,ܦܰܕܳܢܳܐ f. plough; yoke; acre.,plough; yoke; acre,
2572,ܕܒܢܝܐ,ܒܰܢܳܝܳܐ,408,363,NounAdj,"ܒܰܢܳܝܳܐ builder, founder, architect.","builder, founder, architect",
2573,ܦܝܢܟܐ,ܦܺܝܢܟܳܐ,2503,362,NounAdj,ܦܺܝܢܟܳܐ dish; tablet.,dish; tablet,Writing
2574,ܐܘܨܪܐ,ܐܰܘܨܪܳܐ,52,361,NounAdj,"ܐܰܘܨܪܳܐ storehouse, granary.","storehouse, granary",
2575,ܚܦܪ,ܚܦܰܪ,15850,361,Verb,"ܚܦܰܪ 1 fut. ܢܶܚܦܽܘܪ, Ia to dig, burrow; to paw (the ground); Ip to be dug up, out; IIIa to dig through.","to dig, burrow",
2576,ܫܪܥ,ܫܪܰܥ,3330,361,Verb,"ܫܪܰܥ fut. ܢܶܫܪܰܥ, Ia to slip, slide, stumble, lapse; Ip to fall into fault, to offend; to be deceived; IIIa to cause to fall, cause to sin; to seduce.","to slip, stumble",
2577,ܚܦܪ,ܚܦܰܪ,15588,361,Verb,"ܚܦܰܪ 2 fut. ܢܶܚܦܽܘܪ, Ia to blush, be ashamed; IIIa to cause to blush, put to shame.","to blush, be ashamed",
2578,ܡܙܝܚܐ,ܙܳܚ,865,360,Active participle,"ܙܳܚ fut. ܢܙܽܘܚ, Ia to stir, move; IIa to escort, accompany; hold in solemnity; IIp.","to stir, move",Movement
2579,ܡܪܚܐܝܬ,ܡܰܪܳܚܳܐܺܝܬ,11120,360,Adverb_ܐܝܬ,"ܡܰܪܳܚܳܐܺܝܬ boldly, rashly.","boldly, rashly",
2580,ܦܪܢܣ,ܦܰܪܢܶܣ,2595,359,Verb,"ܦܰܪܢܶܣ IVa to administer, oversee, manage; to provide for, care for; IVp.","to administer, oversee, manage",
2581,ܨܠܝܒܘܬܐ,ܨܠܺܝܒܽܘܬܳܐ,9126,359,NounAdj,ܨܠܺܝܒܽܘܬܳܐ crucifixion.,crucifixion,
2582,ܡܪܛܘܛܐ,ܡܰܪܛܽܘܛܳܐ,1856,359,NounAdj,ܡܰܪܛܽܘܛܳܐ cloak.,cloak,Clothing
2583,ܣܢܐܓܪܐ,ܣܢܺܐܓܪܳܐ,6419,358,NounAdj,"ܣܢܺܐܓܪܳܐ advocate, defender; Kth. lawyer.","advocate, defender",
2584,ܢܘܣܟܐ,ܢܽܘܣܟ݂ܳܐ,10361,357,NounAdj,"ܢܽܘܣܟܳܐ copy, manuscript","copy, manuscript",
2585,ܚܙܩܐ,ܚܙܳܩܳܐ,1006,357,NounAdj,"ܚܙܳܩܳܐ belt, band, bond; ܚ̈ܙܳܩܶܐ arteries, veins.","belt, band, bond",
2586,ܒܘܨܐ,ܒܽܘܨܳܐ,350,357,NounAdj,ܒܽܘܨܳܐ fine linen.,fine linen,Materials
2587,ܬܟܣܝܬܐ,ܬܰܟܣܺܝܬܳܐ,1559,357,NounAdj,"ܬܰܟܣܺܝܬܳܐ covering, garment.","covering, garment",Clothing
2588,ܬܢܝܐ,ܬܶܢܝܳܐ,7816,356.5,NounAdj,ܬܶܢܝܳܐ repetition; recital; narration.,repetition; recital; narration,
2589,ܬܢܝܐ,ܬܢܳܝܳܐ,10736,356.5,NounAdj,ܬܢܳܝܳܐ learning by heart; Gram. exception.,learning by heart; Gram. exception,
2590,ܓܢܒ,ܓܢܰܒ,598,356.5,Verb,"ܓܢܰܒ fut. ܢܶܓܢܽܘܒ, Ia to steal; to do something furtively, to go stealthily; to conceal; Ip to be stolen, kidnapped, seduced; IIa to steal, to do secretly; IIp Gram. to be omitted in pronunciation.",to steal,
2591,ܓܢܒ,ܓܶܢ̱ܒ,15901,356.5,Prep,"ܓܶܢ̱ܒ , ܥܰܠ ܓܶܢ̱ܒ beside, alongside.","beside, alongside",
2592,ܥܘܪܠܐ,ܥܽܘܪܠܳܐ,2286,356,NounAdj,ܥܽܘܪܠܳܐ uncircumcised,uncircumcised,
2593,ܬܛܪܐ,ܬܶܛܪܳܐ,6793,356,NounAdj,"ܬܶܛܪܳܐ dregs, sediment; refuse, filth","dregs, sediment",
2594,ܟܘܪܟܡܐ,ܟܽܘܪܟܡܳܐ,13420,356,NounAdj,ܟܽܘܪܟܡܳܐ saffron crocus,saffron crocus,
2595,ܪܓܝܙܐ,ܪܓܺܝܙܳܐ,10826,356,NounAdj,ܪܓܺܝܙܳܐ angry,angry,
2596,ܛܐܠܐ,ܛܰܐܠܳܐ,5747,355,NounAdj,ܛܰܐܠܳܐ (= ܛܰܠܳܐ ) dew.,dew,Liquids
2597,ܡܕܪܟܢܘܬܐ,ܡܰܕܪܟܳܢܽܘܬܳܐ,10202,354,NounAdj,"ܡܰܕܪܟܳܢܽܘܬܳܐ comprehension, perception; attainment","comprehension, perception",
2598,ܬܐܓܘܪܬܐ,ܬܠܳܝܳܐ,6480,354,NounAdj,"ܬܠܳܝܳܐ hanging; hook; noose, loop.",hanging,
2599,ܢܦܠܐ,ܢܳܦܠܳܐ,6785,354,NounAdj,ܢܳܦܠܳܐ deserter.,deserter,
2600,ܐܝܬܝܝܐ,ܐܺܝܬܝܳܝܳܐ,13414,354,NounAdj,"ܐܺܝܬܝܳܝܳܐ essential, existing.","essential, existing",
2601,ܙܡܪܐ,ܙܰܡܳܪܳܐ,10041,353.6,NounAdj,"ܙܰܡܳܪܳܐ, ܬܳܐ- singer.",singer,
2602,ܓܫ,ܓܰܫ,634,353,Verb,"ܓܰܫ fut. ܢܶܓܽܘܫ, Ia to touch, feel, handle; to spy out, explore; to embrace; Ip to be touched; to be tangible, perceptible, apprehend.","to touch, feel",Senses
2603,ܛܪܘܢܘܬܐ,ܛܪܽܘܢܽܘܬܳܐ,6264,353,NounAdj,"ܛܪܽܘܢܽܘܬܳܐ tyranny, tyrannical rule; rebellion.",tyranny; rebellion,
2604,ܡܙܒܢܢܐ,ܡܙܰܒܢܳܢܳܐ,11799,353,NounAdj,"ܡܙܰܒܢܳܢܳܐ vendor, seller.","vendor, seller",
2605,ܝܩܝܪܘܬܐ,ܝܰܩܺܝܪܽܘܬܳܐ,11854,353,NounAdj,"ܝܰܩܺܝܪܽܘܬܳܐ heaviness, weight; seriousness, dignity, reverence, honor; sluggishness; furniture.",heaviness; seriousness,
2606,ܣܓܝܐܢܝܐ,ܣܰܓܺܝܳܐܢܳܝܳܐ,10558,353,NounAdj,ܣܰܓܺܝܳܐܢܳܝܳܐ Gram. plural.,Gram. plural,
2607,ܩܣܛܐ,ܩܶܣܛܳܐ,2850,352,NounAdj,ܩܶܣܛܳܐ pint; jug; liquid measure.,pint; jug,
2608,ܝܪܝܥܬܐ,ܝܳܪܺܝܥܬܳܐ,11649,352,NounAdj,"ܝܳܪܺܝܥܬܳܐ curtain, hanging, covering; tent; family.","curtain, hanging",
2609,ܫܘܥܝܬܐ,ܫܽܘܥܺܝܬܳܐ,3281,351,NounAdj,"ܫܽܘܥܺܝܬܳܐ talk, chatter; tale, story.","talk, chatter; tale, story",
2610,ܬܐܘܠܘܓܘܣ,ܬܶܐܽܘܠܽܘܓܳܘܣ,6059,351,NounAdj,ܬܶܐܽܘܠܽܘܓܳܘܣ theologian.,theologian,
2611,ܥܘܪܠܘܬܐ,ܥܽܘܪܠܽܘܬܳܐ,2287,351,NounAdj,ܥܽܘܪܠܽܘܬܳܐ uncircumcision; foreskin.,uncircumcision; foreskin,
2612,ܐܪܕܟܠܐ,ܐܰܪܕܺܝܟܠܳܐ,7853,351,NounAdj,"ܐܰܪܕܺܝܟܠܳܐ builder, master-builder, mason, architect.","builder, mason",
2613,ܚܠܬܐ,ܚܶܠܬܳܐ,1034,350.4,NounAdj,"ܚܶܠܬܳܐ (pl. ܚ̈ܶܠܶܐ) sheath, scabbard.","sheath, scabbard",
2614,ܚܠܬܐ,ܚܳܠܬܳܐ,11874,350.4,NounAdj,ܚܳܠܬܳܐ 2 maternal aunt.,maternal aunt,
2615,ܚܪܩ,ܚܪܰܩ,1154,350,Verb,"ܚܪܰܩ fut. ܢܶܚܪܽܘܩ, Ia to fix, settle; to conclude; to appoint, to destine; Ip to be appointed, decreed, determined; IIa to gnash the teeth; to sharpen; IIp to be cut through.","to fix, settle",
2616,ܣܣܐ,ܣܳܣܳܐ,2171,350,NounAdj,"ܣܳܣܳܐ moth; maggot, worm; decay.",moth; maggot,
2617,ܡܣܬܝܟܢܐ,ܡܶܣܬܰܝܟܳܢܳܐ,13828,350,NounAdj,"ܡܶܣܬܰܝܟܳܢܳܐ finite, limited; + ܠܳܐ infinite, unlimited.","finite, limited",
2618,ܐܪܚܐ,ܐܳܪܚܳܐ,12495,350,NounAdj,"ܐܳܪܚܳܐ, ܐܳܪܚܳܝܳܐ traveler, wayfarer; Kth. guest.","traveler, wayfarer",
2619,ܪܘܩܐ,ܪܰܘܩܳܐ,3068,350,NounAdj,ܪܰܘܩܳܐ spittle; spitting.,spittle; spitting,
2620,ܪܩ,ܪܰܩ,3069,349,Verb,"ܪܰܩ fut. ܢܶܪܽܘܩ, Ia to spit; Ip; IIa to make thin; IIp; IIIa to attenuate; to make thin.",to spit,
2621,ܡܬܘܡܝܘܬܐ,ܡܬܽܘܡܳܝܽܘܬܳܐ,14345,349,NounAdj,ܡܬܽܘܡܳܝܽܘܬܳܐ eternity.,eternity,
2622,ܠܝܠܐܝܬ,ܕܰܠܺܝܠܳܐܺܝܬ,12074,348.5,Adverb_ܐܝܬ,"ܕܰܠܺܝܠܳܐܺܝܬ rarely, scarcely, briefly.","rarely, scarcely, briefly",
2623,ܠܝܠܐܝܬ,ܕܠܺܝܠܳܐܺܝܬ,8166,348.5,Adverb_ܐܝܬ,ܕܠܺܝܠܳܐܺܝܬ easily.,easily,
2624,ܟܗܝܢܘܬܐ,ܟܰܗܺܝܢܽܘܬܳܐ,13425,348,NounAdj,"ܟܰܗܺܝܢܽܘܬܳܐ abundance, prosperity, affluence.","abundance, prosperity, affluence",
2625,ܚܘܫܒܝܐ,ܚܽܘܫܳܒܳܝܳܐ,6723,348,NounAdj,"ܚܽܘܫܳܒܳܝܳܐ mental, in thought; Gram. understood, implied; Gram. ܫܡܳܐ ܚܽܘܫܳܒܳܝܳܐ pronoun.","mental, in thought; Gram. understood, implied; Gram",
2626,ܪܓܠܬܐ,ܪܓܶܠܬܳܐ,2935,348,NounAdj,ܪܓܶܠܬܳܐ torrent.,torrent,
2627,ܬܟܣ,ܬܟܰܣ,3394,348,Verb,"ܬܟܰܣ fut. ܢܶܬܟܽܘܣ, Ia to hold back, restrain; to strike; Ip to be prevented, deterred; to be dislocated, put out of joint; IIa to suppress; to drive back; to reprimand; IIp.","to hold back, restrain",
2628,ܥܡܘܪܝܐ,ܥܡܽܘܪܝܳܐ,6671,348,NounAdj,"ܥܡܽܘܪܝܳܐ indwelling, inhabiting.","indwelling, inhabiting",
2629,ܦܛܪܐ,ܦܰܛܳܪܳܐ,5890,348,NounAdj,ܦܰܛܳܪܳܐ foolish.,foolish,
2630,ܦܛܪܐ,ܦܛܳܪܳܐ,7419,348,NounAdj,ܦܛܳܪܳܐ passing away.,passing away,
2631,ܐܘܠܝܬܐ,ܐܽܘܠܺܝܬܳܐ,7583,347,NounAdj,"ܐܽܘܠܺܝܬܳܐ lamentation, mourning.","lamentation, mourning",
2632,ܪܟܘܒܐ,ܪܟܽܘܒܳܐ,10758,347,NounAdj,"ܪܟܽܘܒܳܐ conveyance, vehicle, vessel; animal for riding.","conveyance, vehicle",
2633,ܡܠܚܐ,ܡܰܠܳܚܳܐ,1775,346.8,NounAdj,"ܡܰܠܳܚܳܐ sailor, mariner.",sailor,
2634,ܩܠ,ܩܰܠ,2818,346.5,Verb,"ܩܰܠ fut. ܢܶܩܽܘܠ, Ia to abate, diminish; to be swift; IIa to lighten, make easier; to scorn; IIp; IIIa ܐܰܩܶܠ to lighten, relieve; to accelerate; to disparage.","to abate, diminish",
2635,ܪܘܚܢܘܬܐ,ܪܽܘܚܳܢܽܘܬܳܐ,14010,346,NounAdj,"ܪܽܘܚܳܢܽܘܬܳܐ, ܪܽܘܚܳܢܳܝܽܘܬܳܐ spiritual existence; spirituality.",spiritual existence; spirituality,
2636,ܦܝܠܣܘܦܘܬܐ,ܦܺܝܠܽܘܣܽܘܦܺܝܰܐ,13204,346,NounAdj,ܦܺܝܠܽܘܣܽܘܦܺܝܰܐ philosophy.,philosophy,
2637,ܓܕܝܐ,ܓܰܕܝܳܐ,513,345.8,NounAdj,ܓܰܕܝܳܐ kid (a young goat); Capricorn.,kid (a young goat),
2638,ܡܫܡܠܝܘܬܐ,ܡܫܰܡܠܝܽܘܬܳܐ,12965,345,NounAdj,"ܡܫܰܡܠܝܽܘܬܳܐ entirety, completeness, perfection.","entirety, completeness",
2639,ܨܐܕܐ,ܨܶܐܕ,13304,345,Prep,"ܨܶܐܕ (= ܨܶܝܕ) towards, to, with.","towards, to, with",
2640,ܩܪܝܐ,ܩܶܪܝܳܐ,10083,344,NounAdj,ܩܶܪܝܳܐ strife; nocturnal pollution.,strife,
2641,ܡܦܪܫܐܝܬ,ܡܦܰܪܫܳܐܺܝܬ,9294,344,Adverb_ܐܝܬ,"ܡܦܰܪܫܳܐܺܝܬ separately, distinctly, differently, particularly, differentiatingly; + ܠܳܐ indiscriminately.","separately, differently",
